"id","Latitude","Longitude","Unique_Squirrel_ID","Date","Age","Shift","Primary_Fur_Color","Location","Specific_Location","Other_Activities","Running","Chasing","Climbing","Eating","Foraging","Kuks","Quaas","Moans","Tail_flags","Tail_twitches","Approaches","Indifferent","Runs_from"
"15214","40.798095947103400","-73.957823716835900","40B-PM-1014-06","2018-10-14","Adult","PM","Gray","Ground Plane","","","True","False","False","False","False","False","False","False","False","False","False","True","False"
"15215","40.780971944530900","-73.968827120240100","19C-PM-1018-01","2018-10-18","Adult","PM","Gray","Ground Plane","","","True","True","False","True","False","False","False","False","False","True","False","True","False"
"15216","40.794458508236700","-73.961708874992800","35A-PM-1013-06","2018-10-13","Adult","PM","Cinnamon","Ground Plane","","","True","False","False","False","False","False","False","False","False","False","False","False","True"
"15217","40.776653057929300","-73.970182482587200","14E-AM-1008-09","2018-10-08","Adult","AM","Gray","Ground Plane","","","True","True","False","False","False","True","False","False","False","False","False","False","True"
"15218","40.776604351297400","-73.967641049748100","15G-PM-1019-05","2018-10-19","Adult","PM","Gray","Above Ground","","","False","False","True","False","False","False","False","False","False","False","False","False","False"
"15219","40.772357203023600","-73.970872605072100","10F-AM-1007-02","2018-10-07","Adult","AM","Gray","Above Ground","","","False","False","True","False","False","False","False","False","False","False","False","False","False"
"15220","40.798216222376400","-73.954145346581700","42E-PM-1012-06","2018-10-12","Adult","PM","Cinnamon","Ground Plane","","","True","False","False","False","True","False","False","False","False","False","False","False","True"
"15221","40.784292740532700","-73.968360829597600","22B-AM-1013-04","2018-10-13","Adult","AM","Cinnamon","Ground Plane","Under bench","","False","False","False","False","True","False","False","False","False","False","False","False","True"
"15222","40.777338666528000","-73.968052057989000","15F-PM-1010-06","2018-10-10","Adult","PM","Gray","Ground Plane","","","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15223","40.771587786327400","-73.978718087073600","5A-AM-1006-05","2018-10-06","Adult","AM","Gray","Ground Plane","near 65th St arch","","False","False","False","False","True","False","False","False","True","False","False","False","True"
"15224","40.789565406854600","-73.956590586827600","32H-PM-1006-01","2018-10-06","Unknown","PM","Gray","Above Ground","in the European Beech","","False","False","True","False","False","False","False","False","False","False","False","False","False"
"15225","40.799246167480200","-73.956575973361100","42C-AM-1007-02","2018-10-07","Unknown","AM","Unknown","","","","False","False","False","False","False","False","True","False","False","False","False","False","False"
"15226","40.798738465625600","-73.955153949830600","41D-AM-1014-01","2018-10-14","Adult","AM","Gray","Ground Plane","","digging","False","False","False","False","True","False","False","False","False","False","False","True","False"
"15227","40.781353795943500","-73.964197181396700","21G-PM-1007-01","2018-10-07","Adult","PM","Gray","Ground Plane","","","False","False","False","True","False","False","False","False","True","False","False","True","False"
